Non Situational
('gasolinerainbow crazy accident witnessed tweetersteele gasoline rainbow', 'non-situational'),
			('someone didnt start day well work snow accident prius', 'non-situational'),
			('one seemed think bad idea erecting building covered sloped windows reflecting sun light eyes motorists accident', 'non-situational'),
			('accident photo studio epicfail rofl', 'non-situational')
			('theres thing accident', 'non-situational'),
			('shocking aldenrichards narrowly escapes car accident', 'non-situational'),
			('song paranoid forever make think catastrophe drive pcb spring break freshman year accident fivegirls', 'non-situational'),
			('traffic accident information via propertycasualty360 stl', 'non-situational'),
			('road safety smartphone help auto accident', 'non-situational'),
			('worker dies falling 53 storeys los angeles building site heightsafety ppe accident construction', 'non-situational'),
			('incredible new discovery designed accident', 'non-situational'),
			('whoah many police ambulance fire engines banstead crossroads banstead accident', 'non-situational'),
			('25 inventions werent meant happen via list25 accident', 'non-situational'),
			('crash accident luck scoop incredible photos accident made news today', 'non-situational'),
			('everything changed accident newlife newme', 'non-situational'),
			('head went lunch realphoto talkinghead accident mysterious creepy invisible', 'non-situational'),
			('man breaking news man beheaded daughter washing accident dontloseyourhead daughterviolence accident', 'non-situational'),
			('thanks heavens okay except material lost black accident thanks friend god', 'non-situational'),
			('writes nice messages make happy badleg love accident pain inpain', 'non-situational'),
			('read workers labor law claim fails since conduct sole cause accident read workers labor law claim fails since conduct sole cause accident', 'non-situational'),
			('discuss accident one senior lawyers free afterhours 4162078200', 'non-situational'),
			('roadrunner coyotes artist unknown streetart art funny car accident', 'non-situational'),
			('note self always file police report get accident parties cant change story afterwards nohonesty', 'non-situational'),
			('young family know important get life back together accident', 'non-situational'),
			('young armenian man involved traffic accident comes coma month', 'non-situational'),
			
Situational

('bmw 160 kmph jumped divider smashed accident palmbeach vashi navimumbai', 'situational'),
	('accident vashi bridge', 'situational'),
	('truck loaded beer met accident near apmc market vashiyou never see', 'situational'),
	('another palmbeachroad accident vashi', 'situational'),
	('accident palm beach marg vashi navimumbai found', 'situational'),
	('3 back back 4carinline collisions vashi bridge navi mumbai accident hubbrz hubbrz', 'situational'),
	('3 bikes wagonr burnt completely front mango store vashi accident', 'situational'),
	('vikhrolis bridge doom multiple accidents since last two months mumbai', 'situational'),
	('scorpio crashed divider near vikhroli railway station many injured accident', 'situational'),
	('trafflinemum accident gandhinagar vikhrolighatkopar road bike hit suv police sight nothin major seems', 'situational'),
	('accident 259 eastern express highway kannamwar nagar ii vikhroli east mumbai maharashtra 400083 india description 3 cars pile', 'situational'),
	('major accident involving 10 vehicles poonam nagar jvlr many casualties avoid road jvlr', 'situational'),
	('jvlr worst accident traffic late', 'situational'),
	('trafflinemum jvlr flyover weh n b slow moving accident opp nesco', 'situational'),
	('smartmumbaikar trafflinemum santro head collision loaded rickshaw eeh near jvlr junction accident cops spot traffucked', 'situational'),
	('accident jvlr westernexpress junction avoid traffic mumbai', 'situational'),
	('jvlr accident mumbai cc wearemumbai traffline', 'situational'),
	('mumbaiaccident jvlr accident avoid jvlr mumbaikars', 'situational'),
	('ok people playing hide n seek cars check pile jvlr accident', 'situational'),
	('heard abt big pile jvlr ursisurs accident please avoid jvlr', 'situational'),
	('accident weh', 'situational'),
	('mad traffic weh mumbai traffic accident morning mumairport', 'situational'),
	('fatal accident weh last night killed biker injured pillion rider mumbaimata trafflinemum', 'situational'),
	('accident western express highway', 'situational'),
	('mumbai bad accident western express highway near santacruz past airport towards bandra traffic going bad car upturned', 'situational'),
	('horrible accident westernexpress highway mumbai today 3 pm photograph mousumiroy', 'situational'),
	('2days highlight accident western express highway near bandra hyundai santro kicks bmw x6s butt highway accident bmwvshyundai', 'situational'),
	('accident aarey flyover western express highway mad traffic two rickshaw squeezed half trucks', 'situational'),
	('accident updatean accident 2 vehicles santacruz western express highway traffic towards andheri slow', 'situational'),
	('pretty bad accident jogeshwari south bound traffic western express highway hope one critical', 'situational'),
	('two parel residents killed fatal accident dadar', 'situational'),
	('two vehicles dadar near plazacinema traffic towards dadar hanuman temple affected mumbai', 'situational'),
	('panic situation near dadar sivajipark bus cars accident mumbai bealert', 'situational'),
	('saw horrific accident dadar station n collective effect everyone platform save lifehumanity dead', 'situational'),
	('travellers borivali virar thane doomed right standstill traffic due accident ghodbunderroad avoid gbroad', 'situational'),
	('accident one dead borivali express highway', 'situational'),
	('trafflinemum accident update 1830 hrs accident easternexpresshighway near vikhroli police chowky towards ghatkopar', 'situational'),
	('accident eastern express highway near godrej vikhroli major traffic jam', 'situational'),
	('accident involving vw vento vikhroli flyover south bound eeh traffic building ridlrmum', 'situational'),
	('bike jumped accident prone speed breakerrider hurt kailash business park powai vikhroli link rd pls break speed breaker mcgmbmc', 'situational'),
	('accident vikhroli flyover traffic slow trafflinemum', 'situational'),
	('trafflinemum 1st day oct starts late mark vikhroli accident slow moving traffic', 'situational'),
	('trafflinemum accident took place near dadar flyover take flyovers youre going towards vikhroli', 'situational'),
	('trafflinemum huge traffic eeh vikhroli ghatkopar going towards ghatkopar due accident', 'situational'),
	('trafflinemum smartmumbaikar smooth sclrsmall accident near vikhroli eeh led traffic build', 'situational'),
	('accident four vehicles vikhrolieastern express highway near godrej junction traffic towards bhandup slow', 'situational'),
	('accident car dumper kanjur marg near gandhi nagar junction traffic towards vikhroli is slow', 'situational'),
	('horror story mumbai vikhroli flyover accident', 'situational')			
	
	('last week witnessed accident andheri flyoverrushed bikers aid bad shapeleft leg caught bike tyre', 'situational'),
	('accident andheri flyover localpressco', 'situational'),
	('trafflinemum harbour line andheri running letsomething might happenaccident', 'situational'),
	('insane accident andheri east mumbai bus rams shops damaging badly one hurt crash news', 'situational'),
	('best bus overturned andheri flyover accident traffic mumbai', 'situational'),
	('woman killed weekend car crash borivali caraccident majoraccident vehiclecrash', 'situational'),
	('borivali main road congested due car accident hopeless traffic', 'situational'),
	('borivali railway accident', 'situational'),
	('borivali western express highway par huwa accident', 'situational'),
	('train accident borivali railway station 2dae eve human amputated half mumbai safe travel', 'situational'),
	('bandra accident mumbai lilmississues sharinbhatti 3 people dead 36 cars motorbike near cbtl nothing tv', 'situational'),
	('lack fire safety precautions routine audits leads accident rbi building bandra mumbai', 'situational'),
	('accident bandra', 'situational'),
	('carterroad bandra midnight drunkdriving accident mumbaimirror mumbaimerijaan mumbai', 'situational'),
	('fire bandra accident weh average saturday night', 'situational'),
	('end road scene gruesome accident bandra mumbai canon 50mm nightcrawling', 'situational'),
	('4am brake screech n crash woke 2autos n scorpio scorpio humanity tuk ppl 2 hsptl bt 1 atdrvr died accident bandra unhappymorning', 'situational'),
	('blood needed lilavati hosp bandra revert back asap call 919454125733 shashwat mumbai urgent blooddonation accident', 'situational'),
	('roadaccident accident mumbai hitandrun hitandrunaccident bandra', 'situational'),
	('2days highlight accident western express highway near bandra hyundai santro kicks bmw x6s butt highway accident bmwvshyundai', 'situational'),
	('say fire bandra political game towers come soon casualty reported bandrafire accident', 'situational'),
